id,product_id,product_distribution_center_id,in_stock,month_year_creation,days_in_stock
174571,13844,7,0,Aug 2025,37.0
174572,13844,7,1,Jul 2024,
216419,13844,7,0,Sep 2023,16.0
216420,13844,7,1,Feb 2024,
216421,13844,7,1,Nov 2021,
258226,13844,7,0,Jan 2026,6.0
258227,13844,7,1,Jul 2022,
258228,13844,7,1,Jan 2022,
259399,13844,7,0,Nov 2025,39.0
259400,13844,7,1,Jun 2022,
259401,13844,7,1,Sep 2024,
276349,13844,7,0,Nov 2025,58.0
276350,13844,7,1,Jul 2024,
276351,13844,7,1,Jan 2026,
276352,13844,7,1,May 2025,
328632,13844,7,0,Oct 2023,21.0
328633,13844,7,1,Jul 2022,
471378,13844,7,0,Oct 2022,10.0
471379,13844,7,1,Aug 2024,
471380,13844,7,1,Mar 2024,
471381,13844,7,1,Nov 2020,
472818,13844,7,0,Dec 2025,12.0
472819,13844,7,1,Apr 2022,
96599,14086,7,0,Nov 2024,34.0
96600,14086,7,1,Mar 2025,
96601,14086,7,1,Oct 2021,
96602,14086,7,1,Dec 2025,
121213,14086,7,0,Oct 2023,26.0
121214,14086,7,1,Jan 2021,
322617,14086,7,0,Jun 2023,39.0
322618,14086,7,1,Jan 2026,
374238,14086,7,0,Oct 2023,21.0
374239,14086,7,1,Aug 2020,
486691,14086,7,0,Sep 2025,14.0
486692,14086,7,1,Dec 2020,
486693,14086,7,1,Feb 2020,
3475,13726,7,0,Apr 2023,53.0
3476,13726,7,1,Oct 2021,
83917,13726,7,0,Oct 2022,45.0
83918,13726,7,1,Nov 2025,
83919,13726,7,1,Mar 2022,
83920,13726,7,1,Jul 2025,
403554,13726,7,0,Dec 2024,9.0
403555,13726,7,1,Jun 2025,
454793,13726,7,0,Dec 2023,58.0
454794,13726,7,1,Jul 2022,
454795,13726,7,1,Jul 2021,
454796,13726,7,1,May 2025,
135128,14106,7,0,May 2025,11.0
135129,14106,7,1,Dec 2021,
135130,14106,7,1,Jun 2024,
135131,14106,7,1,Dec 2021,
164784,14106,7,0,Nov 2023,51.0
164785,14106,7,1,Dec 2023,
226875,14106,7,0,Apr 2025,33.0
226876,14106,7,1,Oct 2021,
226877,14106,7,1,Jan 2024,
226878,14106,7,1,Oct 2022,
308836,14106,7,0,Dec 2025,53.0
308837,14106,7,1,Jul 2023,
333622,14106,7,0,Dec 2021,59.0
333623,14106,7,1,Jan 2021,
448385,14106,7,0,Dec 2021,42.0
448386,14106,7,1,Jan 2025,
448387,14106,7,1,Dec 2021,
9769,28405,1,0,Dec 2023,45.0
9770,28405,1,1,Feb 2020,
58389,28405,1,0,Nov 2025,18.0
58390,28405,1,1,Dec 2021,
58391,28405,1,1,Dec 2021,
58392,28405,1,1,Feb 2021,
274203,28405,1,0,Jul 2024,6.0
274204,28405,1,1,Apr 2021,
62038,29047,1,0,Jun 2021,44.0
62039,29047,1,1,Feb 2022,
62040,29047,1,1,May 2023,
154417,29047,1,0,Nov 2022,52.0
154418,29047,1,1,Sep 2021,
154419,29047,1,1,Aug 2022,
183085,29047,1,0,Jul 2024,33.0
183086,29047,1,1,Sep 2021,
183087,29047,1,1,Dec 2024,
183088,29047,1,1,Oct 2025,
278575,29047,1,0,Nov 2023,0.0
278576,29047,1,1,Jul 2025,
278577,29047,1,1,Sep 2021,
288651,29047,1,0,Dec 2025,7.0
288652,29047,1,1,Apr 2025,
288653,29047,1,1,Oct 2020,
353333,29047,1,0,Dec 2023,8.0
353334,29047,1,1,Sep 2023,
468757,29047,1,0,Jul 2022,45.0
468758,29047,1,1,Dec 2023,
468759,29047,1,1,Sep 2025,
476476,29047,1,0,Oct 2023,7.0
476477,29047,1,1,Jun 2020,
476478,29047,1,1,Jun 2024,
476479,29047,1,1,Sep 2023,
20519,29020,8,0,Nov 2022,5.0
20520,29020,8,1,May 2023,
159706,29020,8,0,Jan 2025,47.0
159707,29020,8,1,Nov 2025,
159708,29020,8,1,Mar 2023,
159709,29020,8,1,Jul 2024,
192589,29020,8,0,Sep 2025,30.0
192590,29020,8,1,Jun 2025,
199902,29020,8,0,Jan 2026,25.0
199903,29020,8,1,Nov 2022,
199904,29020,8,1,Jan 2022,
254580,29020,8,0,Dec 2025,49.0
254581,29020,8,1,Jul 2023,
78183,28810,7,0,Aug 2024,35.0
78184,28810,7,1,Sep 2021,
150735,28810,7,0,Mar 2025,52.0
150736,28810,7,1,Jun 2020,
150737,28810,7,1,Apr 2021,
150738,28810,7,1,Apr 2021,
255041,28810,7,0,Mar 2020,13.0
255042,28810,7,1,Nov 2023,
255043,28810,7,1,Apr 2021,
298647,28810,7,0,Mar 2021,46.0
298648,28810,7,1,Nov 2024,
298649,28810,7,1,Jan 2026,
298650,28810,7,1,Dec 2020,
385776,28810,7,0,Sep 2023,32.0
385777,28810,7,1,Mar 2021,
52485,28682,7,0,Jul 2025,43.0
52486,28682,7,1,Mar 2024,
52487,28682,7,1,Mar 2022,
52488,28682,7,1,May 2024,
66651,28682,7,0,Mar 2025,44.0
66652,28682,7,1,Nov 2023,
66653,28682,7,1,Apr 2025,
105754,28682,7,0,Feb 2025,34.0
105755,28682,7,1,Jul 2020,
210207,28682,7,0,Jan 2026,3.0
210208,28682,7,1,Dec 2023,
210209,28682,7,1,Mar 2023,
210210,28682,7,1,Jun 2022,
280356,28682,7,0,Jun 2024,39.0
280357,28682,7,1,Sep 2023,
434640,28682,7,0,Jan 2025,31.0
434641,28682,7,1,Aug 2021,
120375,28717,7,0,Aug 2023,21.0
120376,28717,7,1,Oct 2022,
164017,28717,7,0,Sep 2025,10.0
164018,28717,7,1,Dec 2022,
195021,28717,7,0,Nov 2025,35.0
195022,28717,7,1,Jun 2024,
205031,28717,7,0,Jan 2024,8.0
205032,28717,7,1,Jun 2023,
293587,28717,7,0,Jun 2024,33.0
293588,28717,7,1,Nov 2022,
293589,28717,7,1,Oct 2020,
476789,28717,7,0,Sep 2025,40.0
476790,28717,7,1,Jan 2025,
476791,28717,7,1,Feb 2022,
18544,29110,7,0,Jul 2025,41.0
18545,29110,7,1,Feb 2024,
19062,29110,7,0,Dec 2024,16.0
19063,29110,7,1,Jul 2021,
19064,29110,7,1,Feb 2026,
41543,29110,7,0,Jul 2024,31.0
41544,29110,7,1,Apr 2025,
41545,29110,7,1,Feb 2021,
41546,29110,7,1,Sep 2025,
50251,29110,7,0,Sep 2024,28.0
50252,29110,7,1,Mar 2025,
109957,29110,7,0,Aug 2024,42.0
109958,29110,7,1,Aug 2025,
109959,29110,7,1,Jan 2020,
329707,29110,7,0,Jan 2025,19.0
329708,29110,7,1,Aug 2023,
374886,29110,7,0,Jun 2024,51.0
374887,29110,7,1,Sep 2020,
374888,29110,7,1,Nov 2020,
425160,29110,7,0,Mar 2024,50.0
425161,29110,7,1,Oct 2023,
425162,29110,7,1,Oct 2024,
425163,29110,7,1,Oct 2024,
435979,29110,7,0,Oct 2020,1.0
435980,29110,7,1,Oct 2025,
435981,29110,7,1,May 2024,
482943,29110,7,0,Oct 2025,50.0
482944,29110,7,1,Oct 2024,
38439,28859,7,0,Oct 2025,20.0
38440,28859,7,1,Aug 2024,
73966,28859,7,0,Jun 2024,1.0
73967,28859,7,1,Nov 2023,
116839,28859,7,0,Mar 2025,25.0
116840,28859,7,1,Dec 2025,
118594,28859,7,0,Feb 2025,3.0
118595,28859,7,1,Nov 2021,
164716,28859,7,0,Dec 2024,0.0
164717,28859,7,1,Apr 2020,
175540,28859,7,0,Aug 2022,53.0
175541,28859,7,1,Jun 2025,
175542,28859,7,1,Apr 2020,
233757,28859,7,0,Oct 2022,1.0
233758,28859,7,1,Jun 2023,
277028,28859,7,0,Jan 2020,22.0
277029,28859,7,1,Dec 2021,
343177,28859,7,0,Apr 2025,38.0
343178,28859,7,1,Mar 2024,
450741,28859,7,0,Feb 2025,46.0
450742,28859,7,1,Oct 2020,
450743,28859,7,1,May 2021,
450744,28859,7,1,Jul 2023,
465788,28859,7,0,Dec 2025,33.0
465789,28859,7,1,Nov 2021,
465790,28859,7,1,Feb 2020,
78004,28814,7,0,May 2025,17.0
78005,28814,7,1,Feb 2024,
78006,28814,7,1,Feb 2021,
432079,28814,7,0,Mar 2021,53.0
432080,28814,7,1,Jul 2021,
432081,28814,7,1,Jul 2024,
432082,28814,7,1,Sep 2021,
10126,29070,7,0,Jul 2021,15.0
10127,29070,7,1,Dec 2021,
59050,29070,7,0,May 2024,44.0
59051,29070,7,1,Nov 2021,
75500,29070,7,0,Oct 2025,31.0
75501,29070,7,1,May 2020,
75502,29070,7,1,Sep 2022,
284934,29070,7,0,Sep 2020,24.0
284935,29070,7,1,Sep 2021,
385024,29070,7,0,Jan 2026,3.0
385025,29070,7,1,Jun 2024,
433155,29070,7,0,Sep 2025,28.0
433156,29070,7,1,Jan 2023,
11516,28869,7,0,Apr 2024,50.0
11517,28869,7,1,Sep 2020,
293537,28869,7,0,May 2023,52.0
293538,28869,7,1,Feb 2023,
293539,28869,7,1,Mar 2025,
358609,28869,7,0,Nov 2021,27.0
358610,28869,7,1,Jan 2024,
424438,28869,7,0,Jun 2025,2.0
424439,28869,7,1,Nov 2020,
479317,28869,7,0,Jan 2025,24.0
479318,28869,7,1,Jun 2021,
479319,28869,7,1,Mar 2020,
37922,28967,7,0,Feb 2026,9.0
37923,28967,7,1,Nov 2021,
111153,28967,7,0,May 2024,43.0
111154,28967,7,1,Nov 2023,
116645,28967,7,0,Jul 2024,56.0
116646,28967,7,1,Oct 2022,
116647,28967,7,1,Jan 2020,
116648,28967,7,1,Mar 2024,
146771,28967,7,0,Apr 2025,42.0
146772,28967,7,1,Jul 2025,
157650,28967,7,0,Jan 2026,20.0
157651,28967,7,1,May 2021,
258241,28967,7,0,Jul 2025,30.0
258242,28967,7,1,Jul 2022,
366470,28967,7,0,Nov 2023,36.0
366471,28967,7,1,Nov 2023,
384334,28967,7,0,Aug 2024,4.0
384335,28967,7,1,May 2023,
9846,28709,7,0,Dec 2025,18.0
9847,28709,7,1,Mar 2022,
9848,28709,7,1,Dec 2024,
9849,28709,7,1,Oct 2020,
61767,28709,7,0,Oct 2025,12.0
61768,28709,7,1,Nov 2023,
61769,28709,7,1,Jun 2021,
90839,28709,7,0,Feb 2026,14.0
90840,28709,7,1,Oct 2022,
107796,28709,7,0,Sep 2024,7.0
107797,28709,7,1,May 2024,
168844,28709,7,0,May 2021,47.0
168845,28709,7,1,Oct 2022,
168846,28709,7,1,Jul 2025,
305698,28709,7,0,Dec 2023,26.0
305699,28709,7,1,Feb 2023,
305700,28709,7,1,Apr 2023,
305701,28709,7,1,Mar 2020,
356592,28709,7,0,Aug 2020,9.0
356593,28709,7,1,Dec 2024,
409213,28709,7,0,Oct 2025,30.0
409214,28709,7,1,Aug 2022,
409954,28709,7,0,Apr 2025,34.0
409955,28709,7,1,Aug 2020,
409956,28709,7,1,May 2020,
439078,28709,7,0,Nov 2024,2.0
439079,28709,7,1,Sep 2025,
439080,28709,7,1,Dec 2021,
451664,28709,7,0,Aug 2024,16.0
451665,28709,7,1,Oct 2021,
49448,28775,7,0,Nov 2024,58.0
49449,28775,7,1,Dec 2021,
174627,28775,7,0,May 2024,1.0
174628,28775,7,1,Feb 2023,
174629,28775,7,1,Apr 2023,
174630,28775,7,1,Feb 2025,
215539,28775,7,0,Mar 2023,3.0
215540,28775,7,1,Feb 2020,
289704,28775,7,0,Dec 2024,46.0
289705,28775,7,1,Dec 2021,
289706,28775,7,1,Jan 2024,
291674,28775,7,0,Apr 2025,17.0
291675,28775,7,1,Dec 2020,
291676,28775,7,1,Oct 2021,
396166,28775,7,0,May 2022,40.0
396167,28775,7,1,Dec 2025,
396168,28775,7,1,Sep 2020,
1664,28825,7,0,Oct 2025,55.0
1665,28825,7,1,Jun 2023,
1666,28825,7,1,Dec 2025,
1667,28825,7,1,Apr 2020,
234171,28825,7,0,Jan 2021,57.0
234172,28825,7,1,Jul 2022,
343071,28825,7,0,Jan 2021,42.0
343072,28825,7,1,Jan 2025,
343073,28825,7,1,Mar 2025,
343074,28825,7,1,Jul 2023,
382637,28825,7,0,Jan 2025,49.0
382638,28825,7,1,Feb 2023,
382639,28825,7,1,Aug 2023,
20819,28649,7,0,Feb 2025,44.0
20820,28649,7,1,Jun 2021,
28357,28649,7,0,Oct 2025,36.0
28358,28649,7,1,Feb 2024,
28359,28649,7,1,Mar 2025,
112262,28649,7,0,Jul 2024,49.0
112263,28649,7,1,Jan 2020,
157421,28649,7,0,Jul 2023,46.0
157422,28649,7,1,Jul 2020,
242496,28649,7,0,Feb 2025,19.0
242497,28649,7,1,Feb 2023,
267744,28649,7,0,Dec 2021,10.0
267745,28649,7,1,May 2020,
272211,28649,7,0,Apr 2024,32.0
272212,28649,7,1,Aug 2020,
272213,28649,7,1,Dec 2024,
274029,28649,7,0,Aug 2025,47.0
274030,28649,7,1,Jul 2022,
358215,28649,7,0,Sep 2024,59.0
358216,28649,7,1,Apr 2022,
358217,28649,7,1,Aug 2022,
411924,28649,7,0,May 2025,51.0
411925,28649,7,1,Aug 2022,
42871,28604,7,0,Dec 2025,58.0
42872,28604,7,1,Apr 2022,
50830,28604,7,0,Aug 2024,58.0
50831,28604,7,1,Dec 2020,
383228,28604,7,0,Nov 2025,36.0
383229,28604,7,1,Aug 2024,
383230,28604,7,1,Jul 2023,
383231,28604,7,1,Apr 2021,
75318,28841,7,0,Jul 2023,27.0
75319,28841,7,1,May 2025,
91935,28841,7,0,May 2024,29.0
91936,28841,7,1,Dec 2020,
91937,28841,7,1,Sep 2022,
91938,28841,7,1,Jun 2021,
130870,28841,7,0,Nov 2024,38.0
130871,28841,7,1,Dec 2020,
140426,28841,7,0,Apr 2024,22.0
140427,28841,7,1,May 2020,
189832,28841,7,0,Feb 2021,29.0
189833,28841,7,1,Sep 2025,
189834,28841,7,1,Feb 2020,
254165,28841,7,0,Nov 2025,12.0
254166,28841,7,1,Jul 2021,
254167,28841,7,1,Jan 2025,
254168,28841,7,1,Nov 2024,
354658,28841,7,0,Dec 2020,36.0
354659,28841,7,1,May 2021,
354660,28841,7,1,Jun 2024,
354661,28841,7,1,Apr 2022,
388108,28841,7,0,Feb 2025,41.0
388109,28841,7,1,Aug 2022,
393107,28841,7,0,Apr 2025,59.0
393108,28841,7,1,Jul 2023,
393109,28841,7,1,Jan 2025,
437233,28841,7,0,Sep 2024,40.0
437234,28841,7,1,May 2023,
437235,28841,7,1,Mar 2023,
437236,28841,7,1,Jul 2024,
454908,28841,7,0,Aug 2024,48.0
454909,28841,7,1,Aug 2020,
454910,28841,7,1,Jun 2021,
454911,28841,7,1,Oct 2022,
464132,28841,7,0,Mar 2024,29.0
464133,28841,7,1,Nov 2023,
204022,28874,7,0,Jan 2026,14.0
204023,28874,7,1,Jul 2023,
204024,28874,7,1,May 2025,
360126,28874,7,0,Feb 2021,44.0
360127,28874,7,1,Aug 2025,
360128,28874,7,1,Apr 2022,
438957,28874,7,0,Jun 2025,6.0
438958,28874,7,1,Apr 2022,
438959,28874,7,1,May 2023,
438960,28874,7,1,Sep 2025,
470956,28874,7,0,May 2025,9.0
470957,28874,7,1,Jan 2024,
77122,28953,7,0,Oct 2020,54.0
77123,28953,7,1,Dec 2025,
108569,28953,7,0,Nov 2024,23.0
108570,28953,7,1,Jul 2025,
125781,28953,7,0,Nov 2020,29.0
125782,28953,7,1,Aug 2023,
125783,28953,7,1,Nov 2024,
125784,28953,7,1,Feb 2023,
169201,28953,7,0,Nov 2025,39.0
169202,28953,7,1,Jul 2025,
169203,28953,7,1,Oct 2022,
169204,28953,7,1,May 2021,
189520,28953,7,0,Jul 2022,45.0
189521,28953,7,1,Nov 2021,
189522,28953,7,1,Nov 2020,
196180,28953,7,0,Sep 2023,3.0
196181,28953,7,1,Mar 2024,
196182,28953,7,1,Jul 2021,
356463,28953,7,0,Jul 2023,3.0
356464,28953,7,1,Oct 2020,
356465,28953,7,1,Oct 2021,
356466,28953,7,1,May 2021,
115708,28781,7,0,Nov 2024,28.0
115709,28781,7,1,Apr 2020,
115710,28781,7,1,Sep 2022,
115711,28781,7,1,Mar 2022,
119780,28781,7,0,Jan 2025,34.0
119781,28781,7,1,Apr 2024,
119782,28781,7,1,Nov 2024,
119783,28781,7,1,Jun 2021,
240016,28781,7,0,Dec 2025,17.0
240017,28781,7,1,Dec 2023,
240018,28781,7,1,Dec 2024,
445903,28781,7,0,Apr 2025,57.0
445904,28781,7,1,May 2023,
181282,28516,7,0,Mar 2022,16.0
181283,28516,7,1,Aug 2023,
209898,28516,7,0,Aug 2020,17.0
209899,28516,7,1,Jul 2020,
209900,28516,7,1,Feb 2024,
214737,28516,7,0,Feb 2023,40.0
214738,28516,7,1,Oct 2025,
214739,28516,7,1,Dec 2020,
214740,28516,7,1,Sep 2020,
219667,28516,7,0,Jul 2025,29.0
219668,28516,7,1,Jun 2024,
255086,28516,7,0,Jun 2023,23.0
255087,28516,7,1,Mar 2020,
255088,28516,7,1,Nov 2022,
340463,28516,7,0,Dec 2023,37.0
340464,28516,7,1,Sep 2025,
342428,28516,7,0,Sep 2021,45.0
342429,28516,7,1,Oct 2023,
342430,28516,7,1,Jul 2020,
342431,28516,7,1,Aug 2022,
472411,28516,7,0,Sep 2024,4.0
472412,28516,7,1,Oct 2021,
472876,28516,7,0,Dec 2025,55.0
472877,28516,7,1,Jul 2021,
1704,29003,7,0,Jan 2024,20.0
1705,29003,7,1,Nov 2021,
16206,29003,7,0,Aug 2025,35.0
16207,29003,7,1,Jun 2024,
16208,29003,7,1,Dec 2021,
18851,29003,7,0,Dec 2020,7.0
18852,29003,7,1,Aug 2025,
87459,29003,7,0,May 2022,9.0
87460,29003,7,1,Jun 2024,
87461,29003,7,1,Jun 2025,
117135,29003,7,0,Jan 2021,59.0
117136,29003,7,1,Oct 2024,
117137,29003,7,1,Apr 2022,
137121,29003,7,0,Nov 2022,26.0
137122,29003,7,1,Sep 2022,
137123,29003,7,1,Jun 2024,
236642,29003,7,0,Apr 2024,24.0
236643,29003,7,1,Mar 2022,
251324,29003,7,0,Jan 2022,16.0
251325,29003,7,1,Sep 2025,
337605,29003,7,0,Sep 2023,35.0
337606,29003,7,1,Mar 2021,
337607,29003,7,1,Sep 2023,
3359,29067,7,0,Apr 2022,25.0
3360,29067,7,1,Aug 2025,
31295,29067,7,0,Sep 2024,7.0
31296,29067,7,1,Mar 2025,
31297,29067,7,1,Jan 2021,
31298,29067,7,1,Jan 2024,
79276,29067,7,0,Apr 2023,15.0
79277,29067,7,1,Feb 2023,
201557,29067,7,0,Jun 2022,36.0
201558,29067,7,1,Mar 2025,
271039,29067,7,0,May 2024,20.0
271040,29067,7,1,Jan 2023,
271041,29067,7,1,May 2021,
273314,29067,7,0,Jun 2025,12.0
273315,29067,7,1,Dec 2022,
309107,29067,7,0,Jun 2025,57.0
309108,29067,7,1,Jun 2022,
309109,29067,7,1,May 2023,
358461,29067,7,0,Mar 2023,39.0
358462,29067,7,1,Jan 2022,
358463,29067,7,1,Nov 2023,
419424,29067,7,0,Jun 2022,18.0
419425,29067,7,1,Mar 2021,
465530,29067,7,0,Nov 2025,4.0
465531,29067,7,1,Feb 2023,
106936,28792,7,0,Mar 2023,13.0
106937,28792,7,1,Apr 2022,
106938,28792,7,1,Jan 2022,
129258,28792,7,0,Apr 2022,24.0
129259,28792,7,1,Mar 2021,
177276,28792,7,0,Jul 2023,29.0
177277,28792,7,1,Dec 2020,
285917,28792,7,0,Dec 2025,27.0
285918,28792,7,1,Aug 2025,
347392,28792,7,0,Dec 2025,57.0
347393,28792,7,1,Dec 2021,
395610,28792,7,0,Oct 2025,45.0
395611,28792,7,1,Apr 2021,
395612,28792,7,1,Jul 2025,
395613,28792,7,1,Dec 2021,
483163,28792,7,0,Oct 2025,23.0
483164,28792,7,1,Dec 2020,
101372,28610,7,0,Jun 2023,1.0
101373,28610,7,1,Apr 2024,
101374,28610,7,1,Oct 2025,
248336,28610,7,0,Apr 2024,26.0
248337,28610,7,1,May 2021,
431925,28610,7,0,Dec 2024,50.0
431926,28610,7,1,Nov 2024,
431927,28610,7,1,Nov 2023,
431928,28610,7,1,Apr 2024,
440197,28610,7,0,Nov 2022,10.0
440198,28610,7,1,Sep 2022,
443403,28610,7,0,Feb 2024,9.0
443404,28610,7,1,Sep 2021,
444856,28610,7,0,May 2022,56.0
444857,28610,7,1,May 2025,
444858,28610,7,1,Dec 2025,
102480,29082,7,0,May 2023,24.0
102481,29082,7,1,Oct 2021,
108592,29082,7,0,May 2021,35.0
108593,29082,7,1,Oct 2023,
174973,29082,7,0,Jan 2025,27.0
174974,29082,7,1,Jun 2020,
174975,29082,7,1,Feb 2022,
291338,29082,7,0,Apr 2023,51.0
291339,29082,7,1,Dec 2023,
331235,29082,7,0,Jun 2025,7.0
331236,29082,7,1,Jan 2026,
372976,29082,7,0,Apr 2025,53.0
372977,29082,7,1,May 2022,
372978,29082,7,1,May 2025,
466915,29082,7,0,Feb 2025,3.0
466916,29082,7,1,Mar 2022,
466917,29082,7,1,Nov 2025,
475881,29082,7,0,Dec 2024,44.0
475882,29082,7,1,Jul 2021,
475883,29082,7,1,Feb 2022,
11469,29095,7,0,Nov 2023,50.0
11470,29095,7,1,Jun 2021,
30233,29095,7,0,Oct 2024,5.0
30234,29095,7,1,Jan 2026,
30235,29095,7,1,Mar 2023,
30236,29095,7,1,Mar 2020,
117598,29095,7,0,May 2025,48.0
