id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
57437,39781,31992,14235,154879,Complete,2025-09-18 01:10:11+00:00,2025-09-19 19:44:54+00:00,2025-09-24 02:04:54+00:00,,0.02
88055,60928,48731,14235,237588,Complete,2023-11-25 08:38:25+00:00,2023-11-27 06:34:50+00:00,2023-12-01 13:31:50+00:00,,0.02
167933,115761,92662,14235,453428,Complete,2024-05-04 16:21:24+00:00,2024-05-05 03:47:47+00:00,2024-05-06 09:46:47+00:00,,0.02
168782,116334,93125,14235,455714,Complete,2021-11-13 09:26:25+00:00,2021-11-16 02:55:36+00:00,2021-11-18 15:31:36+00:00,,0.02
107244,74048,59230,14235,289424,Processing,2025-12-20 00:04:31+00:00,,,,0.02
8136,5644,4504,14235,21879,Shipped,2025-06-02 23:45:44+00:00,2025-06-04 13:51:35+00:00,,,0.02
21927,15219,12225,14235,59002,Shipped,2025-06-29 04:51:20+00:00,2025-06-28 16:57:55+00:00,,,0.02
52199,36240,29187,14159,140759,Cancelled,2025-08-19 09:23:38+00:00,,,,0.49
135173,93251,74618,14159,364916,Cancelled,2022-04-20 03:07:53+00:00,,,,0.49
21398,14863,11929,14159,57583,Complete,2023-08-08 14:18:31+00:00,2023-08-09 04:43:56+00:00,2023-08-09 17:24:56+00:00,,0.49
42620,29584,23845,14159,114919,Complete,2025-10-13 01:52:01+00:00,2025-10-13 17:37:01+00:00,2025-10-18 02:56:01+00:00,,0.49
130231,89841,71860,14159,351537,Complete,2025-10-24 08:11:12+00:00,2025-10-25 03:39:24+00:00,2025-10-26 07:44:24+00:00,,0.49
143344,98922,79107,14159,387005,Complete,2025-08-16 06:30:25+00:00,2025-08-14 21:41:37+00:00,2025-08-17 08:41:37+00:00,,0.49
88884,61478,49166,14159,239843,Processing,2021-12-29 05:27:56+00:00,,,,0.49
91101,62993,50408,14159,245818,Returned,2026-02-12 23:33:05+00:00,2026-02-13 22:33:44+00:00,2026-02-14 20:43:44+00:00,2026-02-17 18:46:44+00:00,0.49
52654,36553,29461,28700,141967,Cancelled,2025-10-11 01:09:35+00:00,,,,1.5
62757,43423,34882,28700,169283,Cancelled,2023-08-11 06:19:53+00:00,,,,1.5
123004,84852,67878,28700,331968,Cancelled,2022-08-02 08:39:28+00:00,,,,1.5
51147,35524,28635,28700,137904,Complete,2026-02-14 15:05:55+00:00,2026-02-16 19:06:05+00:00,2026-02-18 14:53:05+00:00,,1.5
94818,65575,52478,28700,255845,Complete,2024-07-28 16:20:00+00:00,2024-07-27 07:03:02+00:00,2024-07-30 00:44:02+00:00,,1.5
122511,84513,67599,14202,330636,Complete,2024-09-04 22:27:33+00:00,2024-09-06 10:38:56+00:00,2024-09-06 22:27:56+00:00,,1.5
84922,58787,46978,28700,229090,Processing,2022-12-07 14:46:29+00:00,,,,1.5
120911,83415,66746,28700,326327,Processing,2024-09-06 06:59:15+00:00,,,,1.5
120982,83470,66784,14202,326517,Processing,2020-02-19 21:28:17+00:00,,,,1.5
