order_id,user_id,status,created_at,returned_at,shipped_at,delivered_at,num_of_item,sale_price,cost,profit
3,1,Cancelled,2023-07-05 02:55:38+00:00,,,,1,29.99,15.98,0.0
17,19,Cancelled,2025-07-02 21:46:22+00:00,,,,3,103.29,49.92,0.0
25,24,Cancelled,2023-09-05 23:18:53+00:00,,,,1,17.63,8.9,0.0
32,33,Cancelled,2022-07-23 19:27:05+00:00,,,,1,11.54,5.19,0.0
48,46,Cancelled,2025-07-13 16:17:05+00:00,,,,1,17.5,9.01,0.0
49,46,Cancelled,2021-08-07 19:28:41+00:00,,,,1,14.95,8.37,0.0
55,52,Cancelled,2025-01-12 17:59:02+00:00,,,,1,24.5,9.41,0.0
111,92,Cancelled,2023-12-09 06:15:26+00:00,,,,1,70.0,34.37,0.0
115,94,Cancelled,2024-10-23 13:19:11+00:00,,,,1,26.98,11.63,0.0
131,109,Cancelled,2023-11-24 08:26:23+00:00,,,,1,58.95,36.14,0.0
132,109,Cancelled,2025-08-01 18:43:44+00:00,,,,1,58.0,29.64,0.0
153,126,Cancelled,2026-02-14 11:55:05+00:00,,,,2,85.94,43.04,0.0
154,126,Cancelled,2026-02-13 18:12:25+00:00,,,,2,74.5,32.94,0.0
158,130,Cancelled,2024-05-01 09:46:32+00:00,,,,3,174.03,94.32,0.0
188,157,Cancelled,2024-12-18 05:33:56+00:00,,,,1,59.99,28.14,0.0
214,181,Cancelled,2021-07-09 08:05:14+00:00,,,,2,187.99,65.39,0.0
219,183,Cancelled,2024-11-19 13:15:16+00:00,,,,1,40.0,23.2,0.0
223,185,Cancelled,2025-02-12 23:21:13+00:00,,,,1,15.06,6.19,0.0
237,197,Cancelled,2025-03-15 07:07:49+00:00,,,,1,89.95,39.4,0.0
292,239,Cancelled,2026-01-15 18:14:32+00:00,,,,1,18.97,10.11,0.0
294,240,Cancelled,2020-10-14 16:36:03+00:00,,,,1,44.99,22.14,0.0
295,241,Cancelled,2024-05-08 10:38:22+00:00,,,,1,25.0,15.13,0.0
296,241,Cancelled,2025-05-15 06:31:32+00:00,,,,2,196.0,88.76,0.0
302,244,Cancelled,2025-12-31 18:45:56+00:00,,,,1,9.58,3.67,0.0
304,245,Cancelled,2022-08-18 13:15:33+00:00,,,,1,8.89,5.7,0.0
307,249,Cancelled,2026-01-19 21:15:40+00:00,,,,1,49.95,21.38,0.0
328,261,Cancelled,2026-01-22 12:06:40+00:00,,,,1,66.0,35.51,0.0
329,262,Cancelled,2020-06-26 22:12:40+00:00,,,,1,24.03,9.4,0.0
332,264,Cancelled,2026-01-25 08:52:43+00:00,,,,1,29.99,12.42,0.0
352,279,Cancelled,2025-05-10 09:27:19+00:00,,,,2,232.0,114.64,0.0
361,290,Cancelled,2025-02-07 08:40:52+00:00,,,,1,7.99,4.54,0.0
362,291,Cancelled,2024-04-24 20:29:07+00:00,,,,1,104.99,39.69,0.0
367,297,Cancelled,2025-12-10 12:57:27+00:00,,,,1,143.0,53.77,0.0
379,304,Cancelled,2024-02-15 02:07:42+00:00,,,,1,18.0,8.3,0.0
382,308,Cancelled,2022-10-15 19:43:45+00:00,,,,1,98.08,39.62,0.0
388,317,Cancelled,2026-01-22 15:03:02+00:00,,,,1,19.99,12.87,0.0
407,332,Cancelled,2023-04-14 13:58:10+00:00,,,,3,139.59,62.1,0.0
422,346,Cancelled,2025-12-24 15:42:10+00:00,,,,2,477.99,228.98,0.0
436,356,Cancelled,2023-06-04 05:24:36+00:00,,,,1,19.95,11.13,0.0
452,371,Cancelled,2021-09-27 01:14:23+00:00,,,,1,24.99,9.1,0.0
458,374,Cancelled,2023-12-11 03:30:56+00:00,,,,1,29.99,11.04,0.0
461,376,Cancelled,2020-05-03 05:50:35+00:00,,,,1,17.99,8.04,0.0
469,384,Cancelled,2025-09-13 03:27:30+00:00,,,,4,185.6,88.69,0.0
477,390,Cancelled,2024-10-15 23:31:21+00:00,,,,1,695.0,261.32,0.0
481,391,Cancelled,2024-04-04 12:35:42+00:00,,,,1,34.0,14.52,0.0
509,416,Cancelled,2025-08-19 02:36:48+00:00,,,,2,158.98,67.58,0.0
524,427,Cancelled,2024-12-11 05:58:23+00:00,,,,3,291.21,128.42,0.0
539,434,Cancelled,2024-12-29 12:35:53+00:00,,,,1,29.5,12.07,0.0
545,437,Cancelled,2025-05-11 18:42:13+00:00,,,,2,83.07,44.29,0.0
547,437,Cancelled,2025-06-27 18:04:23+00:00,,,,1,69.2,29.76,0.0
549,440,Cancelled,2021-03-25 11:01:26+00:00,,,,1,78.0,36.58,0.0
550,441,Cancelled,2024-10-27 01:04:26+00:00,,,,1,173.94,92.01,0.0
554,446,Cancelled,2024-06-28 21:24:31+00:00,,,,1,7.95,3.88,0.0
566,454,Cancelled,2024-11-07 04:54:49+00:00,,,,1,17.99,7.97,0.0
567,455,Cancelled,2024-06-17 23:54:10+00:00,,,,1,40.0,22.48,0.0
571,458,Cancelled,2024-05-22 20:55:59+00:00,,,,1,25.0,12.47,0.0
574,459,Cancelled,2025-02-04 12:20:05+00:00,,,,1,15.45,7.01,0.0
580,462,Cancelled,2026-02-14 19:57:51+00:00,,,,1,11.37,6.72,0.0
601,481,Cancelled,2026-02-11 20:31:43+00:00,,,,1,3.99,1.57,0.0
616,498,Cancelled,2026-02-14 02:58:16+00:00,,,,1,25.0,10.07,0.0
624,503,Cancelled,2022-03-13 01:00:11+00:00,,,,1,39.99,21.75,0.0
649,518,Cancelled,2025-05-08 11:44:52+00:00,,,,1,34.99,12.7,0.0
655,525,Cancelled,2026-02-12 02:11:54+00:00,,,,1,12.0,4.85,0.0
661,531,Cancelled,2026-01-15 19:48:49+00:00,,,,1,125.0,62.63,0.0
663,533,Cancelled,2023-01-15 16:43:29+00:00,,,,1,27.95,15.09,0.0
669,542,Cancelled,2021-07-23 09:17:08+00:00,,,,1,158.0,86.11,0.0
689,560,Cancelled,2024-11-16 15:18:13+00:00,,,,1,25.0,13.02,0.0
699,573,Cancelled,2025-06-11 01:14:46+00:00,,,,1,54.95,26.98,0.0
703,576,Cancelled,2025-03-05 23:46:00+00:00,,,,1,24.99,11.27,0.0
722,586,Cancelled,2024-10-06 05:17:45+00:00,,,,4,110.69,62.42,0.0
728,590,Cancelled,2023-08-31 17:34:47+00:00,,,,4,97.86,51.83,0.0
735,596,Cancelled,2025-07-31 10:13:40+00:00,,,,2,22.14,10.99,0.0
756,617,Cancelled,2024-04-05 04:22:41+00:00,,,,1,99.0,46.73,0.0
757,617,Cancelled,2024-06-11 09:01:26+00:00,,,,1,34.99,16.13,0.0
763,621,Cancelled,2024-02-15 20:17:52+00:00,,,,2,58.989999999999995,33.68,0.0
764,621,Cancelled,2024-01-03 22:33:41+00:00,,,,1,38.4,18.66,0.0
773,629,Cancelled,2025-10-05 19:18:00+00:00,,,,2,94.5,42.25,0.0
781,634,Cancelled,2025-10-07 12:15:32+00:00,,,,1,25.0,11.6,0.0
785,638,Cancelled,2025-01-16 00:08:07+00:00,,,,4,110.32,48.11,0.0
791,642,Cancelled,2025-12-14 01:38:59+00:00,,,,1,128.0,59.14,0.0
794,644,Cancelled,2025-07-28 19:13:17+00:00,,,,1,25.0,9.95,0.0
800,649,Cancelled,2026-01-05 01:48:54+00:00,,,,2,101.05,42.84,0.0
805,653,Cancelled,2025-08-23 07:40:35+00:00,,,,1,6.5,2.67,0.0
813,657,Cancelled,2026-01-26 06:03:16+00:00,,,,1,24.9,15.46,0.0
862,693,Cancelled,2019-11-18 13:33:21+00:00,,,,1,149.0,74.05,0.0
865,694,Cancelled,2025-09-26 10:49:04+00:00,,,,1,21.0,12.54,0.0
897,719,Cancelled,2025-12-11 23:47:46+00:00,,,,1,18.42,7.07,0.0
913,733,Cancelled,2024-10-13 22:45:58+00:00,,,,2,142.0,63.26,0.0
919,737,Cancelled,2024-12-16 00:57:53+00:00,,,,2,22.17,10.46,0.0
923,740,Cancelled,2022-04-16 20:13:48+00:00,,,,1,64.8,32.27,0.0
955,765,Cancelled,2024-06-08 15:24:58+00:00,,,,1,49.5,25.0,0.0
963,779,Cancelled,2025-03-02 19:22:26+00:00,,,,1,19.99,11.05,0.0
964,780,Cancelled,2023-11-27 17:53:09+00:00,,,,1,25.5,12.37,0.0
970,785,Cancelled,2025-05-30 01:47:48+00:00,,,,1,6.25,3.11,0.0
980,790,Cancelled,2025-09-14 12:33:42+00:00,,,,2,36.44,15.41,0.0
1011,818,Cancelled,2025-02-12 13:26:09+00:00,,,,1,160.0,65.44,0.0
1014,818,Cancelled,2021-11-11 03:47:16+00:00,,,,3,190.99,83.27,0.0
1017,820,Cancelled,2025-09-30 13:16:37+00:00,,,,2,159.99,88.95,0.0
1046,848,Cancelled,2024-11-07 13:45:56+00:00,,,,1,35.72,19.54,0.0
1068,871,Cancelled,2025-01-29 08:46:42+00:00,,,,2,19.98,10.49,0.0
1093,886,Cancelled,2023-12-25 21:40:36+00:00,,,,1,37.99,16.72,0.0
1110,900,Cancelled,2020-07-12 00:47:46+00:00,,,,1,22.56,10.56,0.0
1116,905,Cancelled,2024-05-24 11:04:58+00:00,,,,1,15.0,7.53,0.0
1130,919,Cancelled,2023-12-04 04:40:30+00:00,,,,1,169.0,83.49,0.0
1138,924,Cancelled,2023-03-11 12:41:56+00:00,,,,1,49.0,31.46,0.0
1149,928,Cancelled,2026-02-02 18:52:45+00:00,,,,1,14.87,8.61,0.0
1158,934,Cancelled,2023-08-02 14:08:49+00:00,,,,1,172.0,87.2,0.0
1160,935,Cancelled,2020-04-24 17:04:41+00:00,,,,1,24.45,11.96,0.0
1170,942,Cancelled,2021-12-26 07:18:29+00:00,,,,1,19.99,9.84,0.0
1177,948,Cancelled,2021-02-07 12:11:08+00:00,,,,3,226.49,105.92,0.0
1188,959,Cancelled,2025-03-28 02:00:49+00:00,,,,1,37.84,20.47,0.0
1191,961,Cancelled,2025-01-14 12:02:46+00:00,,,,1,42.99,21.07,0.0
1209,975,Cancelled,2025-12-26 05:49:44+00:00,,,,4,295.83,128.84,0.0
1219,980,Cancelled,2023-10-23 14:36:20+00:00,,,,1,18.61,7.87,0.0
1223,983,Cancelled,2024-08-27 18:59:50+00:00,,,,2,37.989999999999995,19.62,0.0
1229,988,Cancelled,2025-06-04 07:37:32+00:00,,,,1,88.0,35.82,0.0
1244,1000,Cancelled,2026-02-07 07:40:25+00:00,,,,2,37.99,14.63,0.0
1246,1005,Cancelled,2024-06-24 17:10:45+00:00,,,,4,136.07,66.49,0.0
1252,1012,Cancelled,2024-08-14 21:01:30+00:00,,,,1,167.0,83.67,0.0
1253,1012,Cancelled,2025-01-08 23:56:36+00:00,,,,2,54.99,24.07,0.0
1261,1018,Cancelled,2025-12-28 21:10:26+00:00,,,,1,37.0,21.2,0.0
1263,1020,Cancelled,2023-07-25 09:12:55+00:00,,,,2,97.9,53.52,0.0
1265,1021,Cancelled,2024-12-27 08:17:52+00:00,,,,1,59.99,24.18,0.0
1266,1021,Cancelled,2025-02-11 22:17:43+00:00,,,,1,287.64,125.12,0.0
1267,1021,Cancelled,2023-06-21 18:06:45+00:00,,,,2,180.28,78.8,0.0
1273,1027,Cancelled,2023-12-04 16:51:59+00:00,,,,1,55.0,28.54,0.0
1274,1027,Cancelled,2023-07-02 07:09:40+00:00,,,,2,74.73,36.25,0.0
1282,1033,Cancelled,2022-12-30 02:00:06+00:00,,,,1,29.99,16.13,0.0
1288,1037,Cancelled,2026-02-04 16:04:26+00:00,,,,1,9.99,4.89,0.0
