id,cost,category,brand,retail_price,department,distribution_center_id,ideal_profit
13842,2.52,Accessories,MG,6.25,Women,1,3.73
13928,2.34,Accessories,MG,5.95,Women,1,3.6100000000000003
14115,4.88,Accessories,MG,10.99,Women,1,6.11
14157,4.65,Accessories,MG,10.99,Women,1,6.34
14273,6.51,Accessories,MG,15.99,Women,1,9.48
15674,3.11,Plus,MG,6.25,Women,1,3.14
15816,3.18,Plus,MG,5.95,Women,1,2.77
28646,8.74,Accessories,MG,19.99,Men,1,11.249999999999998
28670,2.68,Accessories,MG,6.18,Men,1,3.4999999999999996
28714,2.28,Accessories,MG,6.25,Men,1,3.97
28779,7.37,Accessories,MG,20.99,Men,1,13.619999999999997
28904,6.8,Accessories,MG,15.99,Men,1,9.190000000000001
29007,10.8,Accessories,MG,26.99,Men,1,16.189999999999998
12777,16.69,Swim,MW,44.99,Women,1,28.3
12810,21.06,Swim,MW,44.99,Women,1,23.930000000000003
12812,21.15,Swim,MW,44.99,Women,1,23.840000000000003
12853,18.72,Swim,MW,44.99,Women,1,26.270000000000003
12900,17.4,Swim,MW,39.99,Women,1,22.590000000000003
13247,20.65,Swim,MW,44.99,Women,1,24.340000000000003
13477,22.6,Swim,MW,54.99,Women,1,32.39
13574,19.39,Swim,MW,44.99,Women,1,25.6
2848,20.95,Active,2XU,44.95,Women,1,24.000000000000004
3039,22.63,Active,2XU,49.95,Women,1,27.320000000000004
9041,20.48,Socks & Hosiery,2XU,49.95,Women,1,29.470000000000002
13122,68.74,Swim,2XU,150.41,Women,1,81.67
18147,17.07,Active,2XU,40.45,Men,1,23.380000000000003
18363,65.1,Active,2XU,159.94,Men,1,94.84
18394,22.98,Active,2XU,49.95,Men,1,26.970000000000002
18465,27.24,Active,2XU,60.0,Men,1,32.760000000000005
18593,17.0,Active,2XU,43.15,Men,1,26.15
18607,30.64,Active,2XU,79.99,Men,1,49.349999999999994
18644,41.29,Active,2XU,107.52,Men,1,66.22999999999999
18664,25.84,Active,2XU,59.95,Men,1,34.11
18708,42.6,Active,2XU,111.22,Men,1,68.62
18796,36.31,Active,2XU,84.06,Men,1,47.75
24644,27.87,Socks,2XU,49.95,Men,1,22.080000000000002
24674,35.64,Socks,2XU,60.0,Men,1,24.36
24731,25.59,Socks,2XU,43.15,Men,1,17.56
27569,92.65,Swim,2XU,150.41,Men,1,57.75999999999999
3206,38.31,Dresses,AGB,79.0,Women,1,40.69
3660,21.92,Dresses,AGB,50.39,Women,1,28.47
3682,18.96,Dresses,AGB,45.35,Women,1,26.39
3730,39.07,Dresses,AGB,89.0,Women,1,49.93
3943,26.28,Dresses,AGB,53.2,Women,1,26.92
5353,22.47,Pants & Capris,AGB,42.0,Women,1,19.53
5433,11.64,Pants & Capris,BKE,20.21,Women,1,8.57
9035,1.4,Socks & Hosiery,HDE,3.95,Women,1,2.5500000000000003
14170,1.19,Accessories,HDE,2.95,Women,1,1.7600000000000002
28411,2.08,Accessories,HDE,4.88,Men,1,2.8
28548,1.28,Accessories,HDE,2.95,Men,1,1.6700000000000002
28873,1.39,Accessories,HDE,3.95,Men,1,2.5600000000000005
29033,1.72,Accessories,HDE,3.95,Men,1,2.2300000000000004
25038,7.6,Socks,Huf,11.95,Men,1,4.35
17159,28.43,Fashion Hoodies & Sweatshirts,ITC,54.99,Men,1,26.560000000000002
5357,15.45,Pants & Capris,Ice,27.99,Women,1,12.54
5440,13.46,Pants & Capris,Ice,27.99,Women,1,14.529999999999998
5474,13.89,Pants & Capris,Ice,24.99,Women,1,11.099999999999998
7234,9.2,Skirts,Ice,24.99,Women,1,15.79
7236,11.38,Skirts,Ice,25.99,Women,1,14.609999999999998
7246,9.45,Skirts,Ice,23.99,Women,1,14.54
7377,10.2,Skirts,Ice,24.99,Women,1,14.79
7448,9.17,Skirts,Ice,24.99,Women,1,15.819999999999999
7903,10.57,Blazers & Jackets,Ice,30.99,Women,1,20.419999999999998
8080,37.11,Suits,Ice,57.99,Women,1,20.880000000000003
8089,49.17,Suits,Ice,75.99,Women,1,26.819999999999993
8093,14.14,Suits,Ice,21.99,Women,1,7.849999999999998
8101,8.51,Suits,Ice,13.99,Women,1,5.48
8103,38.12,Suits,Ice,66.99,Women,1,28.869999999999997
8107,36.06,Suits,Ice,55.99,Women,1,19.93
8109,37.75,Suits,Ice,63.99,Women,1,26.240000000000002
8110,9.7,Suits,Ice,16.99,Women,1,7.289999999999999
8139,59.51,Suits,Ice,95.99,Women,1,36.48
8145,44.83,Suits,Ice,75.99,Women,1,31.159999999999997
8148,42.91,Suits,Ice,71.99,Women,1,29.08
8155,42.87,Suits,Ice,66.99,Women,1,24.119999999999997
8158,15.13,Suits,Ice,25.99,Women,1,10.859999999999998
8160,15.7,Suits,Ice,25.99,Women,1,10.29
8162,9.82,Suits,Ice,16.99,Women,1,7.169999999999998
8185,10.26,Suits,Ice,16.99,Women,1,6.729999999999999
8188,35.5,Suits,Ice,55.99,Women,1,20.490000000000002
8189,19.2,Suits,Ice,33.99,Women,1,14.790000000000003
8191,43.7,Suits,Ice,71.99,Women,1,28.289999999999992
8194,16.14,Suits,Ice,25.99,Women,1,9.849999999999998
8195,39.66,Suits,Ice,66.99,Women,1,27.33
8197,16.19,Suits,Ice,25.99,Women,1,9.799999999999997
8199,17.17,Suits,Ice,26.99,Women,1,9.819999999999997
8208,16.22,Suits,Ice,25.99,Women,1,9.77
8209,9.84,Suits,Ice,16.99,Women,1,7.149999999999999
70,56.92,Tops & Tees,LNA,99.0,Women,1,42.08
791,44.65,Sweaters,LNA,99.0,Women,1,54.35
2060,6.03,Fashion Hoodies & Sweatshirts,NLA,14.0,Women,1,7.97
1935,59.9,Fashion Hoodies & Sweatshirts,QSW,128.0,Women,1,68.1
1972,36.88,Fashion Hoodies & Sweatshirts,QSW,84.0,Women,1,47.12
2349,38.47,Fashion Hoodies & Sweatshirts,QSW,84.0,Women,1,45.53
6529,31.96,Shorts,QSW,68.0,Women,1,36.04
12746,27.84,Swim,TYR,60.0,Women,1,32.16
12750,34.94,Swim,TYR,77.99,Women,1,43.05
12757,22.78,Swim,TYR,59.95,Women,1,37.17
12762,20.82,Swim,TYR,45.45,Women,1,24.630000000000003
12768,21.75,Swim,TYR,55.76,Women,1,34.01
12794,17.14,Swim,TYR,40.62,Women,1,23.479999999999997
12803,28.1,Swim,TYR,70.95,Women,1,42.85
12807,31.13,Swim,TYR,76.49,Women,1,45.36
12815,19.17,Swim,TYR,46.99,Women,1,27.82
12850,20.5,Swim,TYR,54.95,Women,1,34.45
12967,22.62,Swim,TYR,59.99,Women,1,37.370000000000005
