order_id,user_id,status,created_at,returned_at,shipped_at,delivered_at,num_of_item
3,1,Cancelled,2023-07-05 02:55:38 UTC,,,,1
17,19,Cancelled,2025-07-02 21:46:22 UTC,,,,3
25,24,Cancelled,2023-09-05 23:18:53 UTC,,,,1
32,33,Cancelled,2022-07-23 19:27:05 UTC,,,,1
48,46,Cancelled,2025-07-13 16:17:05 UTC,,,,1
49,46,Cancelled,2021-08-07 19:28:41 UTC,,,,1
55,52,Cancelled,2025-01-12 17:59:02 UTC,,,,1
111,92,Cancelled,2023-12-09 06:15:26 UTC,,,,1
115,94,Cancelled,2024-10-23 13:19:11 UTC,,,,1
131,109,Cancelled,2023-11-24 08:26:23 UTC,,,,1
132,109,Cancelled,2025-08-01 18:43:44 UTC,,,,1
153,126,Cancelled,2026-02-14 11:55:05.415918 UTC,,,,2
154,126,Cancelled,2026-02-13 18:12:25.415918 UTC,,,,2
158,130,Cancelled,2024-05-01 09:46:32 UTC,,,,3
188,157,Cancelled,2024-12-18 05:33:56 UTC,,,,1
214,181,Cancelled,2021-07-09 08:05:14 UTC,,,,2
219,183,Cancelled,2024-11-19 13:15:16 UTC,,,,1
223,185,Cancelled,2025-02-12 23:21:13 UTC,,,,1
237,197,Cancelled,2025-03-15 07:07:49 UTC,,,,1
292,239,Cancelled,2026-01-15 18:14:32 UTC,,,,1
294,240,Cancelled,2020-10-14 16:36:03 UTC,,,,1
295,241,Cancelled,2024-05-08 10:38:22 UTC,,,,1
296,241,Cancelled,2025-05-15 06:31:32 UTC,,,,2
302,244,Cancelled,2025-12-31 18:45:56 UTC,,,,1
304,245,Cancelled,2022-08-18 13:15:33 UTC,,,,1
307,249,Cancelled,2026-01-19 21:15:40 UTC,,,,1
328,261,Cancelled,2026-01-22 12:06:40 UTC,,,,1
329,262,Cancelled,2020-06-26 22:12:40 UTC,,,,1
332,264,Cancelled,2026-01-25 08:52:43 UTC,,,,1
352,279,Cancelled,2025-05-10 09:27:19 UTC,,,,2
361,290,Cancelled,2025-02-07 08:40:52 UTC,,,,1
362,291,Cancelled,2024-04-24 20:29:07 UTC,,,,1
367,297,Cancelled,2025-12-10 12:57:27 UTC,,,,1
379,304,Cancelled,2024-02-15 02:07:42 UTC,,,,1
382,308,Cancelled,2022-10-15 19:43:45 UTC,,,,1
388,317,Cancelled,2026-01-22 15:03:02 UTC,,,,1
407,332,Cancelled,2023-04-14 13:58:10 UTC,,,,3
422,346,Cancelled,2025-12-24 15:42:10 UTC,,,,2
436,356,Cancelled,2023-06-04 05:24:36 UTC,,,,1
452,371,Cancelled,2021-09-27 01:14:23 UTC,,,,1
458,374,Cancelled,2023-12-11 03:30:56 UTC,,,,1
461,376,Cancelled,2020-05-03 05:50:35 UTC,,,,1
469,384,Cancelled,2025-09-13 03:27:30 UTC,,,,4
477,390,Cancelled,2024-10-15 23:31:21 UTC,,,,1
481,391,Cancelled,2024-04-04 12:35:42 UTC,,,,1
509,416,Cancelled,2025-08-19 02:36:48 UTC,,,,2
524,427,Cancelled,2024-12-11 05:58:23 UTC,,,,3
539,434,Cancelled,2024-12-29 12:35:53 UTC,,,,1
545,437,Cancelled,2025-05-11 18:42:13 UTC,,,,2
547,437,Cancelled,2025-06-27 18:04:23 UTC,,,,1
549,440,Cancelled,2021-03-25 11:01:26 UTC,,,,1
550,441,Cancelled,2024-10-27 01:04:26 UTC,,,,1
554,446,Cancelled,2024-06-28 21:24:31 UTC,,,,1
566,454,Cancelled,2024-11-07 04:54:49 UTC,,,,1
567,455,Cancelled,2024-06-17 23:54:10 UTC,,,,1
571,458,Cancelled,2024-05-22 20:55:59 UTC,,,,1
574,459,Cancelled,2025-02-04 12:20:05 UTC,,,,1
580,462,Cancelled,2026-02-14 19:57:51.693343 UTC,,,,1
